branch_lengths	model	axis	rate	loglik	shape	argmax	at_boundary
calibrated	ARD	gain	0.1	-3.07218	monotone increasing	100	1
calibrated	ARD	gain	0.177828	-1.73275	monotone increasing	100	1
calibrated	ARD	gain	0.316228	-0.975602	monotone increasing	100	1
calibrated	ARD	gain	0.562341	-0.549	monotone increasing	100	1
calibrated	ARD	gain	1	-0.308846	monotone increasing	100	1
calibrated	ARD	gain	1.77828	-0.173715	monotone increasing	100	1
calibrated	ARD	gain	3.16228	-0.097699	monotone increasing	100	1
calibrated	ARD	gain	5.62341	-0.054944	monotone increasing	100	1
calibrated	ARD	gain	10	-0.030898	monotone increasing	100	1
calibrated	ARD	gain	17.7828	-0.017376	monotone increasing	100	1
calibrated	ARD	gain	31.6228	-0.009771	monotone increasing	100	1
calibrated	ARD	gain	56.2341	-0.005495	monotone increasing	100	1
calibrated	ARD	gain	100	-0.00309	monotone increasing	100	1
calibrated	irreversible	loss	1e-06	-0.032914	monotone decreasing	1e-06	1
calibrated	irreversible	loss	1.77828e-06	-0.05853	monotone decreasing	1e-06	1
calibrated	irreversible	loss	3.16228e-06	-0.104083	monotone decreasing	1e-06	1
calibrated	irreversible	loss	5.62341e-06	-0.185088	monotone decreasing	1e-06	1
calibrated	irreversible	loss	1e-05	-0.329139	monotone decreasing	1e-06	1
calibrated	irreversible	loss	1.77828e-05	-0.585301	monotone decreasing	1e-06	1
calibrated	irreversible	loss	3.16228e-05	-1.04083	monotone decreasing	1e-06	1
calibrated	irreversible	loss	5.62341e-05	-1.85088	monotone decreasing	1e-06	1
calibrated	irreversible	loss	0.0001	-3.29139	monotone decreasing	1e-06	1
calibrated	irreversible	loss	0.000177828	-5.853	monotone decreasing	1e-06	1
